Data As Of,State,COVID-19 Deaths,Total Deaths (Any Cause),Pneumonia Deaths,Pneumonia & COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
4/14/2021,United States,545751,4223421,472364,266296,9047,759617
4/14/2021,Alabama,10235,80682,7208,3496,155,14084
4/14/2021,Alaska,314,5983,363,169,NULL,517
4/14/2021,Arizona,15351,99825,13723,9073,152,20149
4/14/2021,Arkansas,5823,48010,5309,2744,108,8488
4/14/2021,California,61908,418653,58515,36571,849,84680
4/14/2021,Colorado,6319,59025,5603,3119,141,8939
4/14/2021,Connecticut,7807,45191,4030,2213,92,9713
4/14/2021,Delaware,1423,13474,1140,647,22,1937
4/14/2021,District of Columbia,1346,9229,1623,1138,12,1843
4/14/2021,Florida,31564,308813,35132,19074,507,48090
4/14/2021,Georgia,16507,130589,14111,8639,209,22179
4/14/2021,Hawaii,448,15099,1028,227,26,1275
4/14/2021,Idaho,1987,20514,1595,880,35,2733
4/14/2021,Illinois,20656,160633,17983,10220,227,28639
4/14/2021,Indiana,11972,91760,10614,5691,179,17068
4/14/2021,Iowa,5868,43437,4137,2040,98,8060
4/14/2021,Kansas,4796,39217,3806,2039,122,6682
4/14/2021,Kentucky,6921,68957,7944,3479,153,11531
4/14/2021,Louisiana,9138,69660,7269,4670,99,11828
4/14/2021,Maine,848,19769,1320,198,37,2007
4/14/2021,Maryland,9443,75554,7808,3767,154,13619
4/14/2021,Massachusetts,12971,86449,9670,5141,219,17707
4/14/2021,Michigan,15023,141042,13960,7422,288,21834
4/14/2021,Minnesota,7144,63984,5485,2434,155,10345
4/14/2021,Mississippi,7183,49519,6802,3863,78,10190
4/14/2021,Missouri,10498,94471,8836,4615,217,14928
4/14/2021,Montana,1576,14696,1303,738,38,2179
4/14/2021,Nebraska,2787,24191,2424,1156,54,4108
4/14/2021,Nevada,5437,40033,6213,4242,63,7469
4/14/2021,New Hampshire,1261,17074,1113,361,37,2047
4/14/2021,New Jersey,22904,119599,16758,11386,155,28416
4/14/2021,New Mexico,3864,28233,3215,1945,62,5194
4/14/2021,New York,23777,153364,20039,10538,288,33541
4/14/2021,New York City,27678,102027,15904,10421,1035,33355
4/14/2021,North Carolina,8327,103610,9069,3889,286,13790
4/14/2021,North Dakota,1646,10179,1432,832,32,2277
4/14/2021,Ohio,21222,178869,17047,9720,324,28870
4/14/2021,Oklahoma,8093,58538,7025,3307,153,11949
4/14/2021,Oregon,2284,49987,2673,794,95,4256
4/14/2021,Pennsylvania,26059,197880,18596,10490,341,34492
4/14/2021,Rhode Island,2570,15031,1676,1092,33,3186
4/14/2021,South Carolina,8280,73407,7352,3971,155,11808
4/14/2021,South Dakota,1987,12124,1505,852,34,2671
4/14/2021,Tennessee,12106,112108,12623,6259,260,18717
4/14/2021,Texas,51705,324666,45269,28706,617,68827
4/14/2021,Utah,2322,27713,2228,1041,54,3563
4/14/2021,Vermont,217,7749,386,60,18,561
4/14/2021,Virginia,10148,101828,8004,4129,159,14169
4/14/2021,Washington,4939,78792,6464,2724,161,8834
4/14/2021,West Virginia,2585,28332,2934,1274,68,4313
4/14/2021,Wisconsin,7863,77012,5480,2520,172,10991
4/14/2021,Wyoming,621,6840,618,280,10,969
4/14/2021,Puerto Rico,2030,34869,5003,1391,99,5734
