Age,2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population),2016 (Cases),2016 (Rate per 100K population),2017 (Cases),2017 (Rate per 100K population),2018 (Cases),2018 (Rate per 100K population)
0-4,603,3,518,2.6,597,3,514,2.6,496,2.5
9-May,181,0.9,148,1,188,0.9,167,0.8,144,0.7
14-Oct,11406,55.2,10642,52,10571,51.3,10726,51.6,10905,52.5
15-19,381717,1811.9,391396,1854,407230,1927.3,437904,2072.3,446008,2110.6
20-24,566385,2472,589963,2595,601173,2686.1,631207,2853.7,641269,2899.2
25-29,253825,1154.4,280429,1249,298176,1302.6,321857,1377.2,333561,1427.3
30-34,113208,525.9,123866,572,133062,610.8,144451,657.4,154132,701.5
35-39,52536,263.7,59905,294,66669,320.9,74202,349.5,78094,367.8
40-44,27426,133.2,30379,150,32548,165.2,36332,185,38657,196.8
45-54,24773,57,28833,67,32316,75.5,36229,85.5,38323,90.4
55-64,6527,16.3,7756,19,9321,22.5,11356,27,12536,29.9
65+,1449,3.1,1596,3,1772,3.6,2178,4.3,2331,4.6
Unknown Age,1753,NULL,1227,NULL,4731,NULL,1446,NULL,2212,NULL
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
