Age (Years),Total 2018 Cases (American Indian/Alaska Native),Male 2018 Cases (American Indian/Alaska Native),Female 2018 Cases (American Indian/Alaska Native),Total 2018 Cases (Asians),Male 2018 Cases (Asians),Female 2018 Cases (Asians),Total 2018 Cases (Blacks),Male 2018 Cases (Blacks),Female 2018 Cases (Blacks),Total 2018 Cases (Native Hawaiians/Other Pacific Islanders),Male 2018 Cases(Native Hawaiians/Other Pacific Islanders),Female 2018 Cases (Native Hawaiians/Other Pacific Islanders),Total 2018 Cases (Whites),Male 2018 Cases (Whites),Female 2018 Cases (Whites),Total 2018 Cases (Multirace),Male 2018 Cases (Multirace),Female 2018 Cases (Multirace),Total 2018 Cases (Hispanics),Male 2018 Cases (Hispanics),Female 2018 Cases (Hispanics)
0-4,3,3.6,2.5,0.3,0,0.6,3.7,3.2,4.2,4.9,0,10,1,0.7,1.3,0.1,0.2,0,1.1,1.1,1.1
5-9,2.3,0,4.7,0.1,0,0.2,1.5,0.4,2.6,0,0,0,0.2,0,0.4,0.2,0,0.4,0.4,0,0.7
10-14,90,15.6,166.4,3.9,0.6,7.3,146,47.5,246.9,31.5,0,63.6,17.1,2.4,32.6,14,1.2,27.3,28.3,6.9,50.5
15-19,2445.7,945.2,3988.2,327.9,98.3,559.5,4714.8,2668.6,6817.3,2061.6,603.8,3580.8,890.7,293,1520.1,492.5,172.2,821.3,1134.9,442.3,1856
20-24,3131.2,1447.2,4875.1,646.1,361.7,935.8,5454.9,3867.1,7087.7,3375.6,1596.6,5227.5,1317.8,732.6,1935.8,705.8,373.7,1044.8,1687.1,898.5,2527
25-29,1992.9,1086,2935.5,328.7,305.8,349.9,2740.6,2371.7,3105.5,1686,948.4,2476.8,605.6,465.8,749.8,434.2,392.4,473.1,946,678.2,1238.3
30-34,1341.2,848.9,1828.9,190.7,201.3,180.2,1325.6,1406.1,1248.1,866.4,583.9,1162.6,305.7,281.6,329.9,278.2,351.2,212.3,496.4,416,584.5
35-39,797.8,535.3,1054.8,114.4,119.1,110,628.1,753,513.6,473.6,402.2,548.6,161.5,164.1,158.6,157.8,233.7,89.3,273.5,247.2,301.2
40-44,366.2,240.2,486.9,67.9,80.4,56.9,306.3,414.3,209.8,237.7,259.1,215.6,85,95.9,73.8,102.8,163.2,49.2,151.4,149.8,152.4
45-54,119.5,94,143.6,40.4,49,32.9,132.6,196.8,75.7,82.8,85.4,80.4,39.6,56.5,22.8,62.7,120.4,11.3,74.7,86.9,61.9
55-64,35.2,36,34.4,15.7,19.2,12.7,49.1,72.1,29.7,32.1,27.7,36.3,13.2,21.7,5.1,21.3,39.3,5,24.3,30.4,18.5
65+,6.2,5.7,6.7,3.2,5.2,1.7,7.7,13.8,3.5,9.5,4,14.2,1.9,3.4,0.6,2.1,4.1,0.5,3.6,5.7,2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
