State,Cases per Million (2000-2018)
Alabama,3.3
Alaska,NULL
Arizona,0.1
Arkansas,56.2
California,0
Colorado,NULL
Connecticut,0
Delaware,25.9
District of Columbia,4.3
Florida,1.9
Georgia,0
Hawaii,NULL
Idaho,NULL
Illinois,3.1
Indiana,0
Iowa,3.8
Kansas,19.9
Kentucky,16.8
Louisiana,0.2
Maine,14.2
Maryland,12.6
Massachusetts,2.9
Michigan,0.7
Minnesota,2
Mississippi,4.4
Missouri,54.6
Montana,0
Nebraska,1.6
Nevada,0.3
New Hampshire,14.8
New Jersey,10.6
New Mexico,NULL
New York,6
North Carolina,9.6
North Dakota,2.6
Ohio,1.3
Oklahoma,22.8
Oregon,0
Pennsylvania,0.7
Rhode Island,74.6
South Carolina,0
South Dakota,3.4
Tennessee,17.9
Texas,0.3
Utah,0
Vermont,27.2
Virginia,15.1
Washington,0
West Virginia,2.2
Wisconsin,11.5
Wyoming,0
