State,2014 (Female Cases),2014 (Rate per 100K population),2015 (Female Cases),2015 (Rate per 100K population),2016 (Female Cases),2016 (Rate per 100K population),2017 (Female Cases),2017 (Rate per 100K population),2018 (Female Cases),2018 (Rate per 100K population)
Alabama,4090,163.6,3629,144.8,4088,163,5693,226.4,6134,243.9
Alaska,665,190.3,567,162.3,738,208.6,1090,308.8,1057,299.4
Arizona,3564,105.2,3505,102,4315,123.7,5219,147.9,5332,151.1
Arkansas,2527,167.5,2510,165.6,2964,195,3525,230.7,3788,247.9
California,16009,82,18404,93.4,20914,105.9,24599,123.7,26425,132.9
Colorado,1318,49.5,1832,67.5,2323,84.3,3465,124.4,3589,128.9
Connecticut,1108,60.1,851,46.3,1165,63.6,1660,90.4,1938,105.5
Delaware,693,143.5,641,131.3,799,162.6,757,152.5,728,146.6
Florida,9228,90.7,10078,97.2,11488,109,12769,119,12936,120.6
Georgia,6552,126.7,7322,139.9,9156,173.1,9873,184.4,8718,162.8
Hawaii,350,49.9,446,63.2,551,77.5,476,66.9,531,74.6
Idaho,196,24,197,23.8,237,28.2,357,41.7,509,59.4
Illinois,7559,115.2,7698,117.6,8920,137,9750,149.8,10064,154.6
Indiana,3819,114.1,3984,118.6,4811,143,5931,175.5,6083,180
Iowa,862,55.1,1122,71.4,1267,80.4,1887,119.4,2476,156.6
Kansas,1464,100.5,1262,86.6,1695,116.1,2269,155.3,2615,179
Kentucky,2270,101.3,2242,99.8,2716,120.7,3478,153.9,3643,161.2
Louisiana,5049,212.5,5535,231.9,5493,229.6,5978,249.6,5904,246.5
Maine,98,14.4,143,21.1,134,19.7,225,33,250,36.7
Maryland,2793,90.7,3090,99.8,3944,127.1,4629,148.5,4227,135.6
Massachusetts,1215,35,1027,29.4,1390,39.6,2495,70.7,2431,68.9
Michigan,5129,101.7,5191,102.9,6201,122.9,7604,150.3,7981,157.8
Minnesota,1802,65.6,1675,60.7,2214,79.9,2939,105,3345,119.5
Mississippi,2987,194,3131,203.2,3665,238,4563,296.6,4888,317.8
Missouri,3620,117.2,4187,135.1,5228,168.6,5997,192.7,6803,218.7
Montana,221,43.4,462,89.9,493,95.2,427,81.9,638,122.3
Nebraska,770,81.5,870,91.5,1055,110.3,1285,133.6,1302,135.4
Nevada,1294,91.6,1402,97.3,1611,109.9,1972,132,2477,165.8
New Hampshire,91,13.6,65,9.7,132,19.6,179,26.4,184,27.1
New Jersey,3082,67.3,3110,67.8,3338,72.9,3731,80.9,3446,74.8
New Mexico,961,91.3,1087,103.4,1542,146.8,2073,196.7,2343,222.3
New York,7077,69.6,8593,84.4,8709,85.7,9649,94.5,10202,99.9
North Carolina,7759,152.2,10064,195.4,9527,182.7,11013,208.9,11480,217.8
North Dakota,385,106.8,375,101.9,516,139.8,528,143.4,708,192.3
Ohio,8735,147.6,8466,142.8,10130,171,11736,197.4,12146,204.3
Oklahoma,3451,176.3,3580,181.3,4052,204.7,4721,238,4556,229.7
Oregon,786,39.2,1158,56.9,1519,73.5,1920,91.9,2244,107.4
Pennsylvania,6164,94.3,5889,90.1,6135,94.1,5947,91,6050,92.6
Rhode Island,218,40.1,172,31.6,221,40.7,357,65.5,457,83.9
South Carolina,4527,182.3,4401,174.8,4709,184.4,6470,250.1,7016,271.2
South Dakota,557,131.4,621,145.6,757,176.4,722,167.6,974,226.1
Tennessee,3419,101.8,3809,112.6,4681,137.3,5667,164.7,6681,194.2
Texas,17253,127.1,17843,129,18620,132.7,20963,147.2,19982,140.3
Utah,565,38.6,507,34.1,717,47.3,865,56.2,942,61.2
Vermont,35,11,85,26.8,32,10.1,87,27.6,140,44.4
Virginia,4361,103.1,4007,94.1,5056,118.3,5734,133.2,5208,121
Washington,2504,70.9,2797,78,2943,80.7,3488,94.2,3922,105.9
West Virginia,461,49.2,365,39.1,422,45.6,618,67.4,542,59.1
Wisconsin,2046,70.6,2557,88.1,3189,109.8,3696,126.9,3670,126
Wyoming,61,21.3,86,29.9,120,41.9,224,78.9,158,55.7
