Age,2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population),2016 (Cases),2016 (Rate per 100K population),2017 (Cases),2017 (Rate per 100K population),2018 (Cases),2018 (Rate per 100K population)
0-9,41,0.1,48,0.1,47,0.1,40,0.1,54,0.1
19-Oct,114,0.3,97,0.2,131,0.3,86,0.2,231,0.6
20-29,246,0.5,287,0.6,392,0.9,659,1.4,2763,6.1
30-39,207,0.5,233,0.6,391,0.9,893,2.1,4268,9.8
40-49,139,0.3,164,0.4,333,0.8,621,1.5,2658,6.6
50-59,182,0.4,205,0.5,297,0.7,554,1.3,1509,3.5
60+,304,0.5,353,0.5,409,0.6,509,0.7,987,1.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
