State,2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population),2016 (Cases),2016 (Rate per 100K population),2017 (Cases),2017 (Rate per 100K population),2018 (Cases),2018 (Rate per 100K population)
Alabama,15,0.3,23,0.5,19,0.4,23,0.5,38,0.8
Alaska,1,0.1,4,0.5,2,0.3,NULL,NULL,1,0.1
Arizona,29,0.4,54,0.8,32,0.5,59,0.8,77,1.1
Arkansas,2,0.1,10,0.3,13,0.4,7,0.2,254,8.4
California,142,0.4,179,0.5,229,0.6,947,2.4,189,0.5
Colorado,23,0.4,25,0.5,22,0.4,65,1.2,31,0.5
Connecticut,23,0.6,9,0.3,16,0.4,17,0.5,15,0.4
Delaware,1,0.1,2,0.2,1,0.1,6,0.6,7,0.7
Florida,90,0.5,108,0.5,115,0.6,261,1.2,548,2.6
Georgia,24,0.2,30,0.3,44,0.4,24,0.2,84,0.8
Hawaii,5,0.4,6,0.4,285,20,8,0.6,4,0.3
Idaho,7,0.4,9,0.5,7,0.4,4,0.2,5,0.3
Illinois,82,0.6,57,0.4,71,0.6,73,0.6,93,0.7
Indiana,20,0.3,19,0.3,18,0.3,21,0.3,964,14.4
Iowa,12,0.4,16,0.5,16,0.5,9,0.3,10,0.3
Kansas,7,0.2,7,0.2,5,0.2,6,0.2,14,0.5
Kentucky,19,0.4,16,0.4,9,0.2,71,1.6,3560,79.7
Louisiana,5,0.1,5,0.1,12,0.3,8,0.2,37,0.8
Maine,8,0.6,8,0.6,8,0.6,7,0.5,9,0.7
Maryland,27,0.5,19,0.3,37,0.6,29,0.5,52,0.9
Massachusetts,43,0.6,34,0.5,64,0.9,52,0.8,364,5.3
Michigan,45,0.5,51,0.5,112,1.1,670,6.7,299,3
Minnesota,19,0.3,21,0.4,15,0.3,30,0.5,16,0.3
Mississippi,3,0.1,2,0.1,2,0.1,3,0.1,13,0.4
Missouri,20,0.3,9,0.1,16,0.3,27,0.4,243,4
Montana,5,0.5,2,0.2,3,0.3,3,0.3,NULL,NULL
Nebraska,9,0.5,6,0.3,21,1.1,4,0.2,6,0.3
Nevada,5,0.2,11,0.4,14,0.5,19,0.6,41,1.4
New Hampshire,5,0.4,2,0.2,8,0.6,7,0.5,12,0.9
New Jersey,59,0.7,59,0.7,74,0.8,71,0.8,70,0.8
New Mexico,8,0.4,6,0.3,4,0.2,4,0.2,23,1.1
New York,84,0.4,123,0.6,99,0.5,218,1.1,165,0.8
North Carolina,38,0.4,45,0.4,52,0.5,29,0.3,103,1
North Dakota,9,1.2,5,0.7,2,0.3,NULL,NULL,NULL,NULL
Ohio,32,0.3,36,0.3,36,0.3,45,0.4,1687,14.4
Oklahoma,17,0.4,11,0.3,11,0.3,9,0.2,5,0.1
Oregon,13,0.3,28,0.7,15,0.4,20,0.5,23,0.5
Pennsylvania,48,0.4,43,0.3,62,0.5,69,0.5,99,0.8
Rhode Island,8,0.8,4,0.4,4,0.4,6,0.6,7,0.7
South Carolina,6,0.1,16,0.3,21,0.4,21,0.4,30,0.6
South Dakota,3,0.4,2,0.2,1,0.1,1,0.1,1,0.1
Tennessee,12,0.2,14,0.2,7,0.1,6,0.1,654,9.7
Texas,124,0.5,147,0.5,139,0.5,129,0.5,88,0.3
Utah,8,0.3,8,0.3,12,0.4,159,5.1,135,4.3
Vermont,1,0.2,3,0.5,5,0.8,2,0.3,3,0.5
Virginia,27,0.3,50,0.6,190,2.3,46,0.5,82,1
Washington,26,0.4,26,0.4,31,0.4,28,0.4,35,0.5
West Virginia,12,0.6,8,0.4,15,0.8,6,0.3,2247,124.4
Wisconsin,7,0.1,9,0.2,7,0.1,16,0.3,15,0.3
Wyoming,1,0.2,3,0.5,NULL,NULL,18,3.1,5,0.9
Total,1239,0.4,1390,0.4,2007,0.6,3366,1,12474,3.8
