State,2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population),2016 (Cases),2016 (Rate per 100K population),2017 (Cases),2017 (Rate per 100K population),2018 (Cases),2018 (Rate per 100K population)
Alabama,117,2.4,101,2.1,59,1.2,82,1.7,48,1
Alaska,3,0.4,3,0.4,6,0.8,9,1.2,7,0.9
Arizona,31,0.5,25,0.4,14,0.2,26,0.4,23,0.3
Arkansas,28,0.9,36,1.2,49,1.6,46,1.5,47,1.6
California,110,0.3,160,0.4,115,0.3,126,0.3,105,0.3
Colorado,29,0.5,28,0.5,28,0.5,32,0.6,21,0.4
Connecticut,9,0.3,6,0.2,7,0.2,10,0.3,10,0.3
Delaware,8,0.9,8,0.8,3,0.3,9,0.9,7,0.7
Florida,313,1.6,432,2.1,558,2.7,588,2.8,617,2.9
Georgia,103,1,119,1.2,100,1,106,1,179,1.7
Hawaii,6,0.4,14,1,NULL,NULL,NULL,NULL,3,0.2
Idaho,6,0.4,8,0.5,6,0.4,6,0.3,6,0.3
Illinois,58,0.5,55,0.4,37,0.3,27,0.2,25,0.2
Indiana,126,1.9,133,2,146,2.2,170,2.5,169,2.5
Iowa,9,0.3,16,0.5,10,0.3,12,0.4,14,0.4
Kansas,11,0.4,19,0.7,21,0.7,24,0.8,16,0.5
Kentucky,164,3.7,162,3.7,222,5,236,5.3,260,5.8
Louisiana,87,1.9,87,1.9,48,1,73,1.6,57,1.2
Maine,12,0.9,9,0.7,53,4,77,5.8,52,3.9
Maryland,40,0.7,40,0.7,27,0.4,34,0.6,53,0.9
Massachusetts,30,0.4,25,0.4,31,0.5,51,0.7,46,0.7
Michigan,50,0.5,56,0.6,45,0.5,61,0.6,77,0.8
Minnesota,16,0.3,19,0.3,21,0.4,23,0.4,16,0.3
Mississippi,48,1.6,50,1.7,31,1,44,1.5,40,1.3
Missouri,31,0.5,35,0.6,40,0.7,31,0.5,18,0.3
Montana,NULL,NULL,4,0.4,1,0.1,3,0.3,1,0.1
Nebraska,8,0.4,3,0.2,8,0.4,10,0.5,3,0.2
Nevada,21,0.7,25,0.9,22,0.7,30,1,23,0.8
New Hampshire,4,0.3,NULL,NULL,NULL,NULL,NULL,NULL,4,0.3
New Jersey,77,0.9,85,0.9,59,0.7,57,0.6,64,0.7
New Mexico,2,0.1,2,0.1,1,0,1,0,2,0.1
New York,95,0.5,80,0.4,103,0.5,81,0.4,56,0.3
North Carolina,100,1,165,1.6,170,1.7,190,1.8,220,2.1
North Dakota,NULL,NULL,2,0.3,2,0.3,NULL,NULL,2,0.3
Ohio,171,1.5,409,3.5,299,2.6,285,2.4,310,2.7
Oklahoma,57,1.5,37,0.9,32,0.8,41,1,6,0.2
Oregon,32,0.8,24,0.6,20,0.5,23,0.6,18,0.4
Pennsylvania,68,0.5,61,0.5,43,0.3,69,0.5,61,0.5
Rhode Island,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Carolina,37,0.8,30,0.6,34,0.7,40,0.8,45,0.9
South Dakota,3,0.4,2,0.2,2,0.2,2,0.2,1,0.1
Tennessee,232,3.5,243,3.7,204,3.1,215,3.2,192,2.8
Texas,122,0.5,159,0.6,156,0.6,106,0.4,102,0.4
Utah,11,0.4,10,0.3,5,0.2,18,0.6,36,1.1
Vermont,4,0.6,3,0.5,2,0.3,1,0.2,3,0.5
Virginia,61,0.7,69,0.8,56,0.7,61,0.7,58,0.7
Washington,44,0.6,34,0.5,45,0.6,45,0.6,51,0.7
West Virginia,186,10.1,272,14.7,268,14.6,212,11.7,132,7.3
Wisconsin,11,0.2,5,0.1,9,0.2,14,0.2,14,0.2
Wyoming,NULL,NULL,NULL,NULL,NULL,NULL,2,0.3,2,0.3
