Age,Male Cases (2001-2018),Female Cases (2001-2018),Total Cases (2001-2018)
0-4,10129,9174,19303
9-May,24100,16420,40520
14-Oct,22348,11718,34066
15-19,15064,7916,22980
20-24,9830,6158,15988
25-29,8782,6132,14914
30-34,9691,7595,17286
35-39,11709,9579,21288
40-44,14297,11661,25958
45-49,17049,13771,30820
50-54,18674,16108,34782
55-59,17950,16062,34012
60-64,15505,13867,29372
65-69,12747,11699,24446
70-74,9138,8762,17900
75-79,6079,6302,12381
80-84,3340,3601,6941
85-89,1379,1614,2993
90+,402,514,916
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
