State,2009 (Cases),2010 (Cases),2011 (Cases),2012 (Cases),2013 (Cases),2014 (Cases),2015 (Cases),2016 (Cases),2017 (Cases),2018 (Cases)
Alabama,3,1,9,13,11,28,14,17,25,20
Alaska,7,7,9,4,14,5,1,6,8,8
Arizona,3,2,8,7,22,14,8,8,18,7
Arkansas,0,0,0,0,0,0,0,0,2,0
California,117,126,79,61,90,54,83,90,84,62
Colorado,0,1,0,0,0,0,0,0,4,3
Connecticut,2751,1964,2004,1653,2111,1719,1873,1238,1381,1268
Delaware,984,656,767,507,400,341,334,391,421,505
Florida,77,56,78,67,87,85,116,132,124,98
Georgia,40,10,32,31,8,4,8,4,8,4
Hawaii,0,0,0,0,0,0,0,0,0,0
Idaho,4,6,3,0,14,8,3,9,15,5
Illinois,136,135,194,204,337,233,287,233,218,189
Indiana,61,62,81,64,101,100,102,127,92,72
Iowa,77,68,72,92,153,110,130,76,112,91
Kansas,18,7,11,9,18,12,11,16,13,8
Kentucky,1,5,3,8,17,11,12,16,6,4
Louisiana,0,2,1,3,0,0,2,4,8,2
Maine,791,559,801,885,1127,1169,993,1151,1424,1111
Maryland,1466,1163,938,1113,801,957,1249,1274,1194,894
Massachusetts,4019,2380,1801,3396,3816,3646,2922,146,321,13
Michigan,81,76,89,80,114,93,125,159,196,184
Minnesota,1063,1293,1185,911,1431,896,1174,1304,1408,950
Mississippi,0,0,3,1,0,2,4,1,1,1
Missouri,3,4,5,1,1,7,2,1,2,3
Montana,3,3,9,6,16,5,2,12,4,5
Nebraska,4,7,7,5,7,6,5,10,6,8
Nevada,10,2,3,10,11,4,5,4,7,5
New Hampshire,996,830,887,1002,1324,622,436,691,956,927
New Jersey,4598,3320,3398,2732,2785,2589,3932,3332,3629,2876
New Mexico,1,3,2,1,0,0,0,0,3,0
New York,4134,2385,3118,2044,3512,2853,3252,2623,3502,2446
North Carolina,21,21,18,27,39,27,38,32,70,56
North Dakota,10,21,22,10,12,2,15,9,12,14
Ohio,51,21,36,49,74,94,112,122,233,243
Oklahoma,2,0,2,1,1,0,0,0,0,0
Oregon,12,7,9,5,12,3,3,13,13,7
Pennsylvania,4950,3298,4739,4146,4981,6470,7351,8988,9250,7920
Rhode Island,150,115,111,133,444,570,564,535,595,661
South Carolina,25,19,24,35,33,20,13,25,13,9
South Dakota,1,1,2,4,3,2,5,8,4,4
Tennessee,10,6,5,2,11,7,6,7,15,12
Texas,88,55,28,33,48,20,18,31,31,20
Utah,6,3,6,2,10,5,3,12,10,11
Vermont,323,271,476,386,674,442,491,488,646,348
Virginia,698,911,756,805,925,976,1102,976,1041,744
Washington,15,12,17,13,11,8,17,14,26,8
West Virginia,143,128,107,82,116,112,243,297,503,554
Wisconsin,1952,2505,2408,1368,1447,991,1309,1504,1794,1121
Wyoming,1,0,1,3,1,2,0,1,3,0
