Age,2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population),2016 (Cases),2016 (Rate per 100K population),2017 (Cases),2017 (Rate per 100K population),2018 (Cases),2018 (Rate per 100K population)
0-4,0,0,2,0,2,0,5,0,2,0
9-May,0,0,1,0,2,0,1,0,0,0
14-Oct,12,0.1,9,0,15,0.1,20,0.1,20,0.1
15-19,1023,4.9,1148,5,1298,6.1,1421,6.7,1618,7.7
20-24,4137,18.1,4766,21,5172,23.1,5580,25.2,6140,27.8
25-29,4092,18.6,5168,23,6177,27,6838,29.3,7712,33
30-34,2887,13.4,3549,16,4278,19.6,4870,22.2,5907,26.9
35-39,2045,10.3,2482,12,3043,14.6,3580,16.9,4200,19.8
40-44,1758,8.5,1897,9,2140,10.9,2290,11.7,2690,13.7
45-54,2966,6.8,3488,8,3953,9.2,4091,9.7,4398,10.4
55-64,897,2.2,1153,3,1418,3.4,1586,3.8,1929,4.6
65+,176,0.4,207,0,279,0.6,349,0.7,437,0.9
Unknown Age,6,NULL,2,NULL,37,NULL,13,NULL,10,NULL
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
