Age (Years),Total 2018 Cases (American Indians/Alaska Natives),Male 2018 Cases (American Indians/Alaska Natives),Female 2018 Cases (American Indians/Alaska Natives),Total 2018 Cases (Asians),Male 2018 Cases (Asians),Female 2018 Cases (Asians),Total 2018 Cases (Blacks),Male 2018 Cases (Blacks),Female 2018 Cases (Blacks),Total 2018 Cases (Native Hawaiians/Other Pacific Islanders),Male 2018 Cases (Native Hawaiians/Other Pacific Islanders),Female 2018 Cases (Native Hawaiians/Other Pacific Islanders),Total 2018 Cases (Whites),Male 2018 Cases (Whites),Female 2018 Cases (Whites),Total 2018 Cases (Multirace),Male 2018 Cases (Multirace),Female 2018 Cases (Multirace),Total 2018 Cases (Hispanics),Male 2018 Cases (Hispanics),Female 2018 Cases (Hispanics)
0-4,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
9-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Oct,0,0,0,0,0,0,0.4,0.3,0.5,0,0,0,0,0,0,0,0,0,0.1,0.1,0
15-19,14.4,16.3,12.4,2.4,4.3,0.6,23.7,32.8,14.4,9.8,19.2,0,3.1,4.3,1.9,3.6,5.5,1.7,8,12.3,3.5
20-24,31.4,44.8,17.4,13.1,24.2,1.7,75,118.5,30.1,47.8,71.4,23.2,12.3,19.2,5,19.8,31.1,8.3,30.9,51.8,8.6
25-29,35.1,43.8,26,11.6,22.6,1,89.1,152.7,25.3,40.5,70.7,8,16.2,26.1,5.9,25.1,46.7,4.5,36.6,62.3,8.1
30-34,44.2,66.7,21.5,9.7,19,1.1,68.2,123.2,16.2,33.9,58.4,8.2,15.4,24.9,5.7,29.1,56.6,4.2,29.7,50.3,6.7
35-39,39.1,51.2,27.2,6.4,12.9,0.7,45.7,82.7,11.9,24.1,42.8,4.5,12.2,20.2,4,26.4,45.2,9.6,21.7,36.9,5.4
40-44,24.9,33.3,16.8,5.1,10.3,0.5,25.9,47,6.9,12.9,25.4,0,9.7,16.5,2.8,18.1,36.2,2,15.5,27.1,3.5
45-54,12,15.8,8.4,4,8.4,0.2,18,34,3.9,15.4,31.3,0,8,14.7,1.5,14.3,29,1.1,11.7,21.2,2.1
55-64,4.1,6.6,1.9,1.3,2.7,0.1,8.2,16.2,1.5,6.8,13.9,0,3.7,7.1,0.4,6,12.6,0,4.9,9,1
65+,0.4,0.8,0,0.6,1.2,0.1,2,4.2,0.5,0,0,0,0.6,1.4,0,1.3,2.9,0,1.1,2.4,0.2
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
