State,2014 (Cases),2014 (Rate per 100K population),2015 (Cases),2015 (Rate per 100K population),2016 (Cases),2016 (Rate per 100K population),2017 (Cases),2017 (Rate per 100K population),2018 (Cases),2018 (Rate per 100K population)
Alabama,161,3.3,280,5.8,376,7.7,424,8.7,477,9.8
Alaska,15,2,8,1.1,8,1.1,13,1.8,55,7.4
Arizona,577,8.6,589,8.6,721,10.4,943,13.4,1047,14.9
Arkansas,121,4.1,134,4.5,150,5,234,7.8,288,9.6
California,3835,9.9,4908,12.5,5891,15,6708,17,7607,19.2
Colorado,186,3.5,245,4.5,250,4.5,292,5.2,337,6
Connecticut,86,2.4,92,2.6,110,3.1,110,3.1,91,2.5
Delaware,47,5,41,4.3,58,6.1,57,5.9,30,3.1
Florida,1740,8.7,2083,10.3,2406,11.7,2390,11.4,2880,13.7
Georgia,1234,12.2,1413,13.8,1350,13.1,1489,14.3,1607,15.4
Hawaii,68,4.8,91,6.4,112,7.8,94,6.6,92,6.4
Idaho,12,0.7,57,3.4,50,3,64,3.7,46,2.7
Illinois,863,6.7,1085,8.4,1260,9.8,1225,9.6,1408,11
Indiana,168,2.5,285,4.3,326,4.9,319,4.8,367,5.5
Iowa,72,2.3,75,2.4,89,2.8,101,3.2,86,2.7
Kansas,60,2.1,87,3,124,4.3,133,4.6,152,5.2
Kentucky,158,3.6,145,3.3,219,4.9,262,5.9,366,8.2
Louisiana,575,12.4,696,14.9,750,16,679,14.5,669,14.3
Maine,16,1.2,28,2.1,42,3.2,65,4.9,74,5.5
Maryland,449,7.5,509,8.5,509,8.5,573,9.5,737,12.2
Massachusetts,301,4.5,418,6.2,489,7.2,538,7.8,552,8
Michigan,421,4.2,403,4.1,365,3.7,480,4.8,649,6.5
Minnesota,257,4.7,246,4.5,306,5.5,292,5.2,292,5.2
Mississippi,189,6.3,219,7.3,326,10.9,310,10.4,464,15.5
Missouri,352,5.8,307,5,400,6.6,507,8.3,806,13.2
Montana,8,0.8,13,1.3,14,1.3,48,4.6,45,4.3
Nebraska,50,2.7,45,2.4,67,3.5,43,2.2,119,6.2
Nevada,357,12.6,335,11.6,444,15.1,587,19.6,682,22.7
New Hampshire,36,2.7,40,3,40,3,43,3.2,64,4.8
New Jersey,297,3.3,372,4.2,472,5.3,499,5.5,570,6.3
New Mexico,126,6,118,5.7,189,9.1,193,9.2,304,14.6
New York,1727,8.7,2006,10.1,2455,12.4,2355,11.9,2654,13.4
North Carolina,733,7.4,1196,11.9,1082,10.7,1138,11.1,1098,10.7
North Dakota,13,1.8,11,1.5,33,4.4,44,5.8,41,5.4
Ohio,568,4.9,560,4.8,716,6.2,832,7.1,740,6.3
Oklahoma,151,3.9,209,5.3,264,6.7,373,9.5,531,13.5
Oregon,272,6.9,345,8.6,327,8,352,8.5,424,10.2
Pennsylvania,532,4.2,655,5.1,755,5.9,793,6.2,797,6.2
Rhode Island,71,6.7,77,7.3,90,8.5,71,6.7,96,9.1
South Carolina,250,5.2,294,6,316,6.4,361,7.2,384,7.6
South Dakota,53,6.2,39,4.5,26,3,33,3.8,41,4.7
Tennessee,237,3.6,349,5.3,390,5.9,488,7.3,553,8.2
Texas,1636,6.1,1680,6.1,1955,7,2233,7.9,2538,9
Utah,47,1.6,65,2.2,92,3,117,3.8,169,5.4
Vermont,5,0.8,9,1.4,23,3.7,13,2.1,11,1.8
Virginia,289,3.5,334,4,459,5.5,536,6.3,702,8.3
Washington,344,4.9,445,6.2,565,7.8,677,9.1,802,10.8
West Virginia,28,1.5,52,2.8,53,2.9,62,3.4,65,3.6
Wisconsin,86,1.5,79,1.4,132,2.3,173,3,152,2.6
Wyoming,4,0.7,5,0.9,7,1.2,4,0.7,23,4
