State,2014 (Female Cases),2014 (Rate per 100K population),2015 (Female Cases),2015 (Rate per 100K population),2016 (Female Cases),2016 (Rate per 100K population),2017 (Female Cases),2017 (Rate per 100K population),2018 (Female Cases),2018 (Rate per 100K population)
Alabama,17,37,80,70,88,0.7,1.5,3.2,2.8,3.5
Alaska,1,1,0,1,4,0.3,0.3,0,0.3,1.1
Arizona,50,47,80,158,177,1.5,1.4,2.3,4.5,5
Arkansas,23,26,37,64,68,1.5,1.7,2.4,4.2,4.4
California,318,476,744,902,1255,1.6,2.4,3.8,4.5,6.3
Colorado,6,6,16,18,25,0.2,0.2,0.6,0.6,0.9
Connecticut,7,15,12,13,5,0.4,0.8,0.7,0.7,0.3
Delaware,2,2,3,6,7,0.4,0.4,0.6,1.2,1.4
Florida,137,210,266,321,356,1.3,2,2.5,3,3.3
Georgia,96,94,113,139,184,1.9,1.8,2.1,2.6,3.4
Hawaii,2,1,10,6,7,0.3,0.1,1.4,0.8,1
Idaho,0,9,6,15,5,0,1.1,0.7,1.8,0.6
Illinois,81,84,95,85,120,1.2,1.3,1.5,1.3,1.8
Indiana,11,28,36,27,26,0.3,0.8,1.1,0.8,0.8
Iowa,6,5,6,9,11,0.4,0.3,0.4,0.6,0.7
Kansas,14,17,12,16,24,1,1.2,0.8,1.1,1.6
Kentucky,22,23,21,41,70,1,1,0.9,1.8,3.1
Louisiana,132,189,192,186,166,5.6,7.9,8,7.8,6.9
Maine,3,6,3,9,7,0.4,0.9,0.4,1.3,1
Maryland,49,58,54,47,81,1.6,1.9,1.7,1.5,2.6
Massachusetts,23,25,24,26,41,0.7,0.7,0.7,0.7,1.2
Michigan,31,34,31,34,69,0.6,0.7,0.6,0.7,1.4
Minnesota,21,39,37,38,44,0.8,1.4,1.3,1.4,1.6
Mississippi,17,32,58,88,152,1.1,2.1,3.8,5.7,9.9
Missouri,34,54,66,93,161,1.1,1.7,2.1,3,5.2
Montana,2,1,1,9,10,0.4,0.2,0.2,1.7,1.9
Nebraska,4,3,5,7,14,0.4,0.3,0.5,0.7,1.5
Nevada,23,23,50,75,119,1.6,1.6,3.4,5,8
New Hampshire,4,3,4,4,3,0.6,0.4,0.6,0.6,0.4
New Jersey,16,26,24,34,58,0.3,0.6,0.5,0.7,1.3
New Mexico,14,11,27,19,46,1.3,1,2.6,1.8,4.4
New York,49,59,115,121,171,0.5,0.6,1.1,1.2,1.7
North Carolina,68,112,109,127,160,1.3,2.2,2.1,2.4,3
North Dakota,5,0,3,5,10,1.4,0,0.8,1.4,2.7
Ohio,76,68,94,112,92,1.3,1.1,1.6,1.9,1.5
Oklahoma,15,21,41,67,144,0.8,1.1,2.1,3.4,7.3
Oregon,22,35,35,52,92,1.1,1.7,1.7,2.5,4.4
Pennsylvania,47,52,62,76,99,0.7,0.8,1,1.2,1.5
Rhode Island,5,4,3,7,12,0.9,0.7,0.6,1.3,2.2
South Carolina,23,37,52,56,67,0.9,1.5,2,2.2,2.6
South Dakota,34,7,6,4,11,8,1.6,1.4,0.9,2.6
Tennessee,34,23,56,47,67,1,0.7,1.6,1.4,1.9
Texas,242,230,230,313,424,1.8,1.7,1.6,2.2,3
Utah,1,2,6,4,10,0.1,0.1,0.4,0.3,0.6
Vermont,0,0,3,1,2,0,0,0.9,0.3,0.6
Virginia,17,17,47,60,77,0.4,0.4,1.1,1.4,1.8
Washington,18,30,51,70,100,0.5,0.8,1.4,1.9,2.7
West Virginia,6,9,10,21,19,0.6,1,1.1,2.3,2.1
Wisconsin,7,0,7,12,18,0.2,0,0.2,0.4,0.6
Wyoming,0,1,1,0,5,0,0.3,0.3,0,1.8
