State,2014 (Male Cases),2014 (Rate per 100K population),2015 (Male Cases),2015 (Rate per 100K population),2016 (Male Cases),2016 (Rate per 100K population),2017 (Male Cases),2017 (Rate per 100K population),2018 (Male Cases),2018 (Rate per 100K population)
Alabama,144,243,296,354,389,6.1,10.3,12.6,15,16.5
Alaska,14,7,8,12,51,3.6,1.8,2.1,3.1,13.2
Arizona,527,542,641,785,870,15.8,16,18.6,22.5,24.9
Arkansas,98,108,113,170,220,6.7,7.4,7.7,11.5,14.9
California,3515,4430,5143,5804,6349,18.2,22.8,26.4,29.5,32.3
Colorado,180,239,234,274,312,6.7,8.7,8.4,9.7,11.1
Connecticut,79,77,98,97,84,4.5,4.4,5.6,5.5,4.8
Delaware,45,39,55,51,23,9.9,8.5,11.9,11,4.9
Florida,1602,1873,2140,2069,2524,16.5,18.9,21.3,20.2,24.6
Georgia,1138,1319,1237,1350,1421,23.1,26.5,24.6,26.6,28
Hawaii,66,90,102,88,85,9.2,12.4,14.2,12.3,11.9
Idaho,12,48,44,49,41,1.5,5.8,5.2,5.7,4.8
Illinois,782,1001,1165,1140,1287,12.4,15.9,18.5,18.1,20.5
Indiana,157,257,290,292,341,4.8,7.9,8.9,8.9,10.4
Iowa,66,70,83,92,75,4.3,4.5,5.3,5.9,4.8
Kansas,46,70,112,117,128,3.2,4.8,7.7,8.1,8.8
Kentucky,136,122,198,221,296,6.3,5.6,9.1,10.1,13.5
Louisiana,443,507,558,493,503,19.5,22.2,24.4,21.5,22
Maine,13,22,39,54,67,2,3.4,6,8.3,10.2
Maryland,400,451,455,526,656,13.8,15.5,15.6,17.9,22.4
Massachusetts,277,391,464,512,499,8.5,11.9,14,15.4,15
Michigan,390,369,334,446,580,8,7.6,6.8,9.1,11.8
Minnesota,235,207,267,252,248,8.7,7.6,9.7,9.1,8.9
Mississippi,172,187,268,222,312,11.8,12.9,18.5,15.4,21.6
Missouri,318,253,334,414,645,10.7,8.5,11.2,13.8,21.5
Montana,6,12,13,39,35,1.2,2.3,2.5,7.4,6.6
Nebraska,46,42,62,36,105,4.9,4.4,6.5,3.8,11
Nevada,334,312,394,512,563,23.4,21.5,26.7,34,37.4
New Hampshire,32,37,36,39,61,4.9,5.6,5.4,5.9,9.2
New Jersey,281,346,448,465,511,6.4,7.9,10.3,10.6,11.6
New Mexico,112,107,162,174,258,10.8,10.4,15.7,16.8,24.9
New York,1675,1933,2319,2214,2483,17.5,20.1,24.2,23,25.8
North Carolina,665,1084,973,1011,937,13.7,22.2,19.7,20.2,18.7
North Dakota,8,11,30,39,31,2.1,2.8,7.7,10.1,8
Ohio,492,492,622,720,648,8.7,8.7,10.9,12.6,11.3
Oklahoma,136,188,223,306,387,7.1,9.7,11.5,15.7,19.9
Oregon,250,310,292,298,332,12.7,15.6,14.4,14.5,16.2
Pennsylvania,485,602,693,717,698,7.8,9.6,11.1,11.4,11.1
Rhode Island,66,73,87,64,84,12.9,14.3,17,12.4,16.3
South Carolina,227,257,264,305,317,9.7,10.8,11,12.5,13
South Dakota,19,32,20,29,30,4.4,7.4,4.6,6.6,6.8
Tennessee,203,326,334,441,486,6.4,10.1,10.3,13.5,14.8
Texas,1394,1450,1725,1920,2114,10.4,10.6,12.5,13.7,15
Utah,46,63,86,113,159,3.1,4.2,5.6,7.2,10.2
Vermont,5,9,20,12,9,1.6,2.9,6.5,3.9,2.9
Virginia,272,316,403,471,617,6.6,7.7,9.7,11.3,14.8
Washington,326,414,514,606,701,9.2,11.5,14.1,16.4,18.9
West Virginia,22,43,43,41,46,2.4,4.7,4.7,4.6,5.1
Wisconsin,79,79,125,161,134,2.8,2.8,4.4,5.6,4.6
Wyoming,4,4,6,4,18,1.3,1.3,2,1.4,6.1
