Genus and Species of Vibrionaceae,2010 (Cases),2011 (Cases),2012 (Cases),2013 (Cases),2014 (Cases)
Grimontia hollisae (formerly V. hollisae),15,7,15,15,10
Photobacterium damselae subsp. damselae (formerly V. damsela),3,7,1,2,6
V. alginolyticus,152,156,182,208,239
V. campbellii,0,0,0,1,0
V. cholerae (excluding toxigenic O1 and O139)*,69,86,68,72,80
V. fluvialis,50,37,58,61,71
V. furnissii,0,0,3,2,1
V. harveyi,0,0,2,1,4
V. metoecus,0,0,0,0,1
V. metschnikovii,2,0,2,2,3
V. mimicus,15,15,20,26,31
V. navarrensis,0,0,0,0,1
V. parahaemolyticus,421,334,431,594,605
V. vulnificus,133,113,119,137,124
Multiple species,11,11,6,9,24
Species not identified,56,87,37,46,52
